video_id,song_name,artist_name,views,likes,comments,chart_position,collection_date
yt_unknown_barota_(music_video)_sidhu_moose_wala_|_the_kidd_|_latest_punjabi_songs_2025,BAROTA (MUSIC VIDEO) SIDHU MOOSE WALA | THE KIDD | LATEST PUNJABI SONGS 2025,Unknown,1428039,0,0,23,2025-12-08
"yt_unknown_fortuner_(official_video)_gulshan_music,jaat_nia,ruchika_jangid_|_new_haryanvi_songs_hary","Fortuner (Official Video) Gulshan Music,Jaat Nia,Ruchika Jangid | New Haryanvi Songs Haryanavi 2025",Unknown,1357727,0,0,24,2025-12-08
yt_karol_g_si_antes_te_hubiera_conocido_|_coke_studio,Si Antes Te Hubiera Conocido | Coke Studio,KAROL G,1320104,0,0,25,2025-12-08
"yt_unknown_""your_idol""_|_official_song_clip_|_kpop_demon_hunters_|_sony_animation","""Your Idol"" | Official Song Clip | KPop Demon Hunters | Sony Animation",Unknown,1247185,0,0,26,2025-12-08
"yt_el_chombo,_dancing_green_alien_dame_tu_cosita_feat._cutty_ranks_(official_video)",Dame Tu Cosita feat. Cutty Ranks (Official Video),"El Chombo, Dancing Green Alien",1243838,0,0,27,2025-12-08
"yt_w_sound_05_""la_plena""_beéle,_westcol,_ovy_on_the_drums","Beéle, Westcol, Ovy On The Drums","W Sound 05 ""LA PLENA""",1240084,0,0,28,2025-12-08
yt_fuerza_regida_marlboro_rojo_(video_oficial),MARLBORO ROJO (VIDEO OFICIAL),FUERZA REGIDA,1199380,0,0,29,2025-12-08
yt_unknown_ranu_bombai_ki_ranu_full_song_|_ramu_rathod_|_likhitha_|_kalyan_keys_|_prabha_|_rathod_tu,RANU BOMBAI KI RANU FULL SONG | RAMU RATHOD | LIKHITHA | KALYAN KEYS | PRABHA | RATHOD TUNES,Unknown,1197029,0,0,30,2025-12-08
"yt_dhurandhar_title_track_|_ranveer_singh,_shashwat_sachdev,_hanumankind,_jasmine_sandlas,aditya_dha","Title Track | Ranveer Singh, Shashwat Sachdev, Hanumankind, Jasmine Sandlas,Aditya Dhar",Dhurandhar,1196227,0,0,31,2025-12-08
"yt_coca_cola_2_tony_kakkar,_neha_kakkar,_junior_|_official_video","Tony Kakkar, Neha Kakkar, Junior | Official Video",Coca Cola 2,1167450,0,0,32,2025-12-08
yt_sia_snowman_[official_video],Snowman [Official Video],Sia,1151268,0,0,33,2025-12-08
"yt_unknown_""how_it's_done""_official_lyric_video_|_kpop_demon_hunters_|_sony_animation","""How It's Done"" Official Lyric Video | KPop Demon Hunters | Sony Animation",Unknown,1129855,0,0,34,2025-12-08
"yt_xavi,_manuel_turizo_en_privado_(official_video)",En Privado (Official Video),"Xavi, Manuel Turizo",1129035,0,0,35,2025-12-08
yt_unknown_#video_|_#नीलकमल_सिंह_|_सड़ीया_सरकावs_राजा_जी_|_#neelkamal_singh_|_akansha_puri_|_latest_,#Video | #नीलकमल सिंह | सड़ीया सरकावs राजा जी | #Neelkamal Singh | Akansha Puri | Latest Hit Song,Unknown,1111481,0,0,36,2025-12-08
yt_dystinct_yama_(official_music_video),YAMA (Official Music Video),DYSTINCT,1110093,0,0,37,2025-12-08
yt_unknown_peddi_reddy_full_song_|_bullet_bandi_laxman_|_madeen_sk_|_naga_durga_|_leading_boys,Peddi Reddy Full Song | Bullet Bandi Laxman | Madeen Sk | Naga Durga | Leading Boys,Unknown,1100583,0,0,38,2025-12-08
